match_id,equipo_id,formacion,jugador_id,jugador,posicion
1278602754,6741,4-3-3,8290688.0,Manuel Ugarte,Midfielder
1278602754,6741,4-3-3,121870.0,Federico Valverde,Midfielder
1278602754,6741,4-3-3,8336090.0,Maximiliano Araújo,Forward
1278602754,6741,4-3-3,2653756.0,Rodrigo Aguirre,Forward
1278602754,6741,4-3-3,8308237.0,Agustín Canobbio,Forward
1307911194,8443,4-2-3-1,7610624.0,Unai Simón,Goalkeeper
1307911194,8443,4-2-3-1,7628334.0,Marc Cucurella,Defender
1307911194,8443,4-2-3-1,100296.0,Aymeric Laporte,Defender
1307911194,8443,4-2-3-1,63856457.0,Pau Cubarsí,Defender
1307911194,8443,4-2-3-1,121387.0,Marcos Llorente,Defender
1307911194,8443,4-2-3-1,7238.0,Rodri,Midfielder
1307911194,8443,4-2-3-1,21511203.0,Pedri,Midfielder
1307911194,8443,4-2-3-1,29337413.0,Alejandro Baena,Midfielder
1307911194,8443,4-2-3-1,54840940.0,Fermín López,Midfielder
1307911194,8443,4-2-3-1,62279462.0,Lamine Yamal,Midfielder
1307911194,8443,4-2-3-1,7619157.0,Mikel Oyarzabal,Forward
1307911194,12698,3-4-1-2,5016270.0,Vanja Milinković-Savić,Goalkeeper
1307911194,12698,3-4-1-2,56343.0,Aleksa Terzić,Defender
1307911194,12698,3-4-1-2,7378140.0,Strahinja Pavlović,Defender
1307911194,12698,3-4-1-2,453691.0,Nikola Milenković,Defender
1307911194,12698,3-4-1-2,293335.0,Filip Kostić,Midfielder
1307911194,12698,3-4-1-2,239883.0,Nemanja Gudelj,Midfielder
1307911194,12698,3-4-1-2,55099184.0,Aleksandar Stanković,Midfielder
1307911194,12698,3-4-1-2,54857201.0,Ognjen Mimović,Defender
1307911194,12698,3-4-1-2,298970.0,Sergej Milinković-Savić,Midfielder
1307911194,12698,3-4-1-2,454979.0,Aleksandar Mitrović,Forward
1307911194,12698,3-4-1-2,7374598.0,Veljko Birmančević,Forward
1286523862,8443,4-3-3,3134019.0,David Raya,Goalkeeper
1286523862,8443,4-3-3,90797.0,Alejandro Grimaldo,Defender
1286523862,8443,4-3-3,58201171.0,Dean Huijsen,Defender
1286523862,8443,4-3-3,53722956.0,Cristhian Mosquera,Defender
1286523862,8443,4-3-3,7650713.0,Pedro Porro,Defender
1286523862,8443,4-3-3,213157.0,Dani Olmo,Midfielder
1286523862,8443,4-3-3,149884.0,Carlos Soler,Midfielder
