match_id,equipo_id,estadistica,valor
1278602754,9294,Interceptions,9.0
1278602754,9294,Successful Tackles,13.0
1278602754,9294,Tackles,24.0
1278602754,9294,Clearances,15.0
1278602754,9294,Successful Aerial Duels,8.0
1278602754,9294,Aerial Duels,17.0
1278602754,9294,Successful Dribbles,14.0
1278602754,9294,Dribbles,23.0
1278602754,9294,Shots accuracy,0.38
1278602754,9294,Failed passes,55.0
1278602754,9294,Possession,0.54
1278602754,9294,Shots on target,5.0
1278602754,9294,Corners,7.0
1278602754,9294,Offsides,2.0
1278602754,9294,Successful passes,427.0
1278602754,9294,Red cards,0.0
1278602754,9294,Shots off target,3.0
1278602754,9294,Blocked shots,5.0
1278602754,9294,Shots within penalty area,8.0
1278602754,9294,Total passes,482.0
1278602754,9294,Shots outside penalty area,5.0
1278602754,9294,Goalkeeper saves,0.0
1278602754,9294,Fouls,7.0
1278602754,9294,Yellow cards,1.0
1278602754,6741,Expected Goals,1.27
1278602754,6741,Big Chances Created,1.0
1278602754,6741,Attacks,154.0
1278602754,6741,Free Kicks,7.0
1278602754,6741,Expected Assists,0.88
1278602754,6741,Successful Crosses,3.0
1278602754,6741,Crosses,9.0
1278602754,6741,Passes Own Half,216.0
1278602754,6741,Passes Opposition Half,211.0
1278602754,6741,Successful Long Passes,19.0
1278602754,6741,Long Passes,40.0
1278602754,6741,Throw-Ins,10.0
1278602754,6741,Key Passes,3.0
1278602754,6741,Passes Into Final Third,63.0
1278602754,6741,Backward Passes,56.0
1278602754,6741,Goal Kicks,6.0
1278602754,6741,Interceptions,12.0
1278602754,6741,Successful Tackles,14.0
1278602754,6741,Tackles,19.0
1278602754,6741,Clearances,16.0
1278602754,6741,Successful Aerial Duels,9.0
1278602754,6741,Aerial Duels,17.0
1278602754,6741,Successful Dribbles,2.0
1278602754,6741,Dribbles,15.0
1278602754,6741,Shots accuracy,0.11
1278602754,6741,Failed passes,54.0
1278602754,6741,Possession,0.46
1278602754,6741,Shots on target,1.0
1278602754,6741,Corners,0.0
1278602754,6741,Offsides,1.0
1278602754,6741,Successful passes,364.0
1278602754,6741,Red cards,0.0
1278602754,6741,Shots off target,4.0
1278602754,6741,Blocked shots,4.0
1278602754,6741,Shots within penalty area,6.0
1278602754,6741,Total passes,418.0
1278602754,6741,Shots outside penalty area,3.0
1278602754,6741,Goalkeeper saves,4.0
1278602754,6741,Fouls,12.0
1278602754,6741,Yellow cards,2.0
1307911194,8443,Expected Goals,1.34
1307911194,8443,Big Chances Created,2.0
1307911194,8443,Attacks,258.0
1307911194,8443,Free Kicks,8.0
1307911194,8443,Expected Assists,1.27
1307911194,8443,Successful Crosses,1.0
1307911194,8443,Crosses,8.0
1307911194,8443,Passes Own Half,385.0
1307911194,8443,Passes Opposition Half,422.0
1307911194,8443,Successful Long Passes,22.0
1307911194,8443,Long Passes,37.0
1307911194,8443,Throw-Ins,13.0
1307911194,8443,Key Passes,12.0
1307911194,8443,Passes Into Final Third,194.0
1307911194,8443,Backward Passes,163.0
1307911194,8443,Goal Kicks,1.0
1307911194,8443,Interceptions,6.0
1307911194,8443,Successful Tackles,3.0
1307911194,8443,Tackles,8.0
1307911194,8443,Clearances,17.0
1307911194,8443,Successful Aerial Duels,8.0
1307911194,8443,Aerial Duels,15.0
1307911194,8443,Successful Dribbles,6.0
1307911194,8443,Dribbles,11.0
1307911194,8443,Shots accuracy,0.57
1307911194,8443,Failed passes,57.0
1307911194,8443,Possession,0.71
1307911194,8443,Shots on target,8.0
1307911194,8443,Corners,5.0
1307911194,8443,Offsides,2.0
1307911194,8443,Successful passes,742.0
1307911194,8443,Red cards,0.0
1307911194,8443,Shots off target,4.0
1307911194,8443,Blocked shots,2.0
1307911194,8443,Shots within penalty area,10.0
1307911194,8443,Total passes,799.0
1307911194,8443,Shots outside penalty area,4.0
1307911194,8443,Goalkeeper saves,2.0
1307911194,8443,Fouls,12.0
1307911194,8443,Yellow cards,0.0
1307911194,12698,Expected Goals,0.11
1307911194,12698,Big Chances Created,0.0
1307911194,12698,Attacks,96.0
1307911194,12698,Free Kicks,11.0
1307911194,12698,Expected Assists,0.39
1307911194,12698,Successful Crosses,1.0
1307911194,12698,Crosses,10.0
1307911194,12698,Passes Own Half,239.0
1307911194,12698,Passes Opposition Half,86.0
1307911194,12698,Successful Long Passes,29.0
1307911194,12698,Long Passes,56.0
1307911194,12698,Throw-Ins,16.0
1307911194,12698,Key Passes,2.0
1307911194,12698,Passes Into Final Third,23.0
1307911194,12698,Backward Passes,51.0
1307911194,12698,Goal Kicks,9.0
1307911194,12698,Interceptions,12.0
