match_id,fecha,liga_id,casa,mercado,lado,cuota,cosechado
1336367783,2026-08-24T19:30:00.000Z,119924,BetUK,Both Teams To Score,Yes,1.92,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,BetUK,Both Teams To Score,No,1.8,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Cashwin,Both Teams To Score,Yes,1.95,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Cashwin,Both Teams To Score,No,1.8,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,20Bet,Both Teams To Score,Yes,1.91,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,20Bet,Both Teams To Score,No,1.9,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,LeoVegas Sport,Both Teams To Score,Yes,1.92,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,LeoVegas Sport,Both Teams To Score,No,1.8,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Interwetten,Both Teams To Score,Yes,1.85,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Interwetten,Both Teams To Score,No,1.9,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,All British Casino,Both Teams To Score,Yes,1.92,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,All British Casino,Both Teams To Score,No,1.78,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,10bet,Both Teams To Score,Yes,2.0,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,10bet,Both Teams To Score,No,1.75,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,22Bet,Both Teams To Score,Yes,1.87,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,22Bet,Both Teams To Score,No,1.85,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Megapari,Both Teams To Score,Yes,1.87,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Megapari,Both Teams To Score,No,1.85,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Ladbrokes,Both Teams To Score,Yes,1.91,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Ladbrokes,Both Teams To Score,No,1.8,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Mostbet,Both Teams To Score,Yes,1.85,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Mostbet,Both Teams To Score,No,1.9,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,William Hill,Both Teams To Score,Yes,1.91,2026-09-20T23:41:14.348958+00:00
