casa,familia,mercado,lado,match_id,cuota,prob_cuota,prob_casa,consenso,desviacion,valor
Cashwin,Asian Handicap,Asian Handicap -1.25/+1.25,away,1321404650,1.18,0.8474576271186441,0.7885304659498209,0.819033,-0.03050253405017911,-0.03354106000000012
Betibet,Asian Handicap,Asian Handicap -1.25/+1.25,home,1321404650,5.5,0.18181818181818182,0.17293233082706766,0.18182949999999998,-0.008897169172932318,6.22499999998194e-05
Betibet,Asian Handicap,Asian Handicap -1.25/+1.25,away,1321404650,1.15,0.8695652173913044,0.8270676691729323,0.8181705,0.008897169172932262,-0.05910392500000006
bet365,Asian Handicap,Asian Handicap -1.25/+1.25,home,1321404650,5.25,0.19047619047619047,0.1809672386895476,0.180387,0.0005802386895475964,-0.05296824999999994
bet365,Asian Handicap,Asian Handicap -1.25/+1.25,away,1321404650,1.16,0.8620689655172414,0.8190327613104526,0.819613,-0.0005802386895474854,-0.04924892000000003
1xBet,Asian Handicap,Asian Handicap -1.25/+1.25,home,1321404650,4.95,0.20202020202020202,0.1924959216965742,0.180967,0.011528921696574213,-0.1042133500000001
1xBet,Asian Handicap,Asian Handicap -1.25/+1.25,away,1321404650,1.18,0.8474576271186441,0.8075040783034257,0.819033,-0.011528921696574268,-0.03354106000000012
TonyBet,Asian Handicap,Asian Handicap -1.25/+1.25,home,1321404650,5.4,0.18518518518518517,0.1780821917808219,0.180967,-0.002884808219178081,-0.02277819999999997
TonyBet,Asian Handicap,Asian Handicap -1.25/+1.25,away,1321404650,1.17,0.8547008547008548,0.8219178082191781,0.819033,0.0028848082191781366,-0.041731390000000035
N1Bet,Asian Handicap,Asian Handicap -1.25/+1.25,home,1321404650,5.1,0.19607843137254904,0.1826923076923077,0.17952449999999998,0.0031678076923077336,-0.08442505000000022
N1Bet,Asian Handicap,Asian Handicap -1.25/+1.25,away,1321404650,1.14,0.8771929824561404,0.8173076923076923,0.8204755,-0.0031678076923077336,-0.06465793000000009
20Bet,Asian Handicap,Asian Handicap -1.25/+1.25,home,1321404650,5.4,0.18518518518518517,0.1780821917808219,0.180967,-0.002884808219178081,-0.02277819999999997
