match_id,arbitro,clima_status,clima_temp
1340461093,"Badstubner, Florian",cloudy,20.5
1340466199,"Exner, Florian",,
1340461944,"Jablonski, Sven",,
1340464497,"Zwayer, Felix",cloudy,25.24
1340460242,"Osmers, Harm",cloudy,21.38
1340462795,"Hempel, Richard",clear day,24.67
1340463646,"Siebert, Daniel",partly cloudy day,21.71
1340465348,"Gerach, Timo",cloudy,17.29
1340455136,"Schlager, Daniel",cloudy,26.15
1340456838,,,
1340458540,"Schroder, Robert",partly cloudy day,20.33
1340457689,"Brand, Benjamin",wind,19.39
1340454285,"Braun, Robin",cloudy,21.24
1340455987,"Petersen, Martin",partly cloudy day,20.84
1340459391,"Burda, Max",wind,19.79
1340453434,"Jollenbeck, Matthias",clear day,24.22
1340452583,"Dingert, Christian",clear night,27.04
1340445775,"Stegemann, Sascha",cloudy,24.9
1340449179,"Siebert, Daniel",cloudy,26.08
1340446626,"Zwayer, Felix",cloudy,21.3
1340450030,"Stieler, Tobias",cloudy,24.53
1340451732,"Dankert, Bastian",cloudy,25.33
1340447477,"Hartmann, Robert",cloudy,21.78
1340448328,"Badstubner, Florian",cloudy,23.72
1340450881,"Jablonski, Sven",clear day,24.46
1340444924,"Storks, Soren",rain,19.29
1321410607,"Letexier, Francois",cloudy,23.04
1321408054,"Delajod, Willy",clear day,27.32
1321404650,"Paradis, Guillaume",cloudy,24.71
1321409756,"Ben el Salem Hadj, Hakim",clear night,20.6
1321403799,"Souifi, Azzedine",clear night,18.84
1321405501,"Kubler, Geoffrey",partly cloudy night,19.03
1321406352,"Vernice, Mathieu",partly cloudy night,20.72
1321408905,"Stinat, Jeremy",cloudy,24.2
1321407203,"Turpin, Clement",partly cloudy night,21.73
1321396991,"Delajod, Willy",cloudy,19.2
1321398693,"Ben el Salem Hadj, Hakim",partly cloudy day,28.5
1321399544,"Lissorgue, Romain",cloudy,21.22
1321397842,"Buquet, Ruddy",partly cloudy night,19.25
1321396140,"Letexier, Francois",partly cloudy night,19.81
1321400395,"Petit, Aurelien",clear night,19.37
1321401246,"Brisard, Jerome",clear night,21.84
1321402948,"Wattellier, Eric",cloudy,25.57
1321402097,"Stinat, Jeremy",partly cloudy night,20.04
1321391885,"Turpin, Clement",clear night,26.77
1321388481,"Kubler, Geoffrey",cloudy,32.25
1321395289,"Paradis, Guillaume",cloudy,28.05
1321392736,"Pignard, Jeremie",clear night,26.29
1321389332,,,
1321390183,"Wattellier, Eric",partly cloudy day,21.59
1321393587,"Brisard, Jerome",cloudy,22.83
1321391034,"Buquet, Ruddy",clear day,32.75
1321394438,"Vernice, Mathieu",clear night,26.19
1321384226,"Delajod, Willy",clear night,24.56
1321385928,"Lissorgue, Romain",wind,22.63
1321385077,"Stinat, Jeremy",cloudy,23.26
1321381673,"Brisard, Jerome",partly cloudy day,19.07
1321383375,"Letexier, Francois",cloudy,24.26
1321382524,"Souifi, Azzedine",clear day,20.07
1321380822,"Ben el Salem Hadj, Hakim",cloudy,20.63
1321386779,"Dechepy, Bastein",cloudy,24.8
1321387630,"Wattellier, Eric",partly cloudy night,18.89
1321378269,,cloudy,22.7
1321374014,"Pignard, Jeremie",cloudy,22.64
1321373163,"Stinat, Jeremy",cloudy,25.92
1321377418,"Lissorgue, Romain",clear night,24.24
1321379971,"Bollengier, Marc",cloudy,19.96
1321374865,"Petit, Aurelien",cloudy,20.69
1321379120,"Paradis, Guillaume",clear day,24.24
1321375716,"Vernice, Mathieu",partly cloudy day,20.18
1321376567,"Buquet, Ruddy",cloudy,25.46
1173818273,"Barrott, Samuel",clear day,25.73
1173821677,"England, Darren",clear day,22.79
1173819975,"Hallam, Farai",clear day,30.15
1173825081,"Oliver, Michael",clear day,30.05
1173823379,"Pawson, Craig",clear day,26.32
1173824230,"Kavanagh, Christopher",clear day,22.2
1173822528,"Madley, Andrew",clear day,24.72
1173820826,"Jones, Robert",clear day,30.12
1173825932,"Taylor, Anthony",clear day,30.18
1173819124,"Kitchen, Andrew",clear day,22.31
1173813167,"Attwell, Stuart",partly cloudy day,14.53
1173811465,"Taylor, Anthony",wind,13.9
1173809763,"Tierney, Paul",cloudy,12.81
1173816571,"Gillett, Jarred",,
1173814018,"Brooks, John",,
1173814869,"Oliver, Michael",,
1173817422,"Kirk, Thomas",,
1173812316,"Barrott, Samuel",,
1173815720,"Salisbury, Michael",,
1173810614,"Kavanagh, Christopher",clear day,9.28
1173763809,"Attwell, Stuart",,
1173808061,"Gillett, Jarred",partly cloudy day,9.83
1173808912,"Kavanagh, Christopher",cloudy,14.41
1173806359,"Tierney, Paul",clear day,13.21
1173802955,"Bramall, Thomas",cloudy,15.3
1173802104,"Taylor, Anthony",cloudy,11.46
1173805508,"Salisbury, Michael",rain,12.19
1173801253,"Brooks, John",clear day,19.52
1173807210,"Attwell, Stuart",rain,9.07
1173803806,"Madley, Andrew",cloudy,19.8
1173804657,"Pawson, Craig",cloudy,14.69
1173796998,"Oliver, Michael",clear day,11.38
1173796147,"Taylor, Anthony",cloudy,17.94
1173793594,"Barrott, Samuel",cloudy,14.51
1173798700,"England, Darren",cloudy,14.31
1173794445,"Jones, Robert",cloudy,15.32
1173792743,"Gillett, Jarred",rain,19.05
1173799551,"Kavanagh, Christopher",cloudy,17.74
1173795296,"Pawson, Craig",cloudy,21.88
1173800402,"Tierney, Paul",cloudy,17.55
1173797849,"Bramall, Thomas",cloudy,17.33
1173789339,"Kavanagh, Christopher",partly cloudy day,12.84
1173784233,"Barrott, Samuel",clear day,19.35
1173791041,"Attwell, Stuart",partly cloudy day,19.09
1173791892,"Taylor, Anthony",clear day,18.66
1173788488,"Madley, Andrew",clear day,19.04
1173787637,"Oliver, Michael",cloudy,15.99
1173790190,"England, Darren",clear day,10.87
1173786786,"Madley, Andrew",wind,9.18
1173785084,"Salisbury, Michael",cloudy,13.65
1173785935,"Pawson, Craig",wind,9.23
1173778276,"England, Darren",partly cloudy day,10.43
1173780829,"Taylor, Anthony",cloudy,12.23
1173779127,"Kavanagh, Christopher",partly cloudy day,10.63
1173782531,"Kirk, Thomas",cloudy,12.67
1173775723,"Barrott, Samuel",cloudy,12.38
1173777425,"Oliver, Michael",clear day,13.82
1173783382,"Attwell, Stuart",partly cloudy day,15.68
1173779978,"Robinson, Tim",partly cloudy day,12.8
1173781680,"Bramall, Thomas",wind,13.47
1173776574,"Tierney, Paul",partly cloudy day,14.8
1173772319,"Tierney, Paul",partly cloudy day,8.82
1173769766,"Kavanagh, Christopher",cloudy,13.26
1173774021,"Jones, Robert",wind,11.79
1173770617,"Madley, Andrew",partly cloudy day,13.39
1173773170,"Salisbury, Michael",cloudy,11.68
1173771468,"Taylor, Anthony",wind,9.61
1173768064,"Hallam, Farai",wind,12.38
1173768915,"Bramall, Thomas",rain,8.12
1173767213,"Oliver, Michael",cloudy,9.66
1173774872,"Gillett, Jarred",cloudy,10.53
1173758703,"Tierney, Paul",cloudy,14.24
1173765511,"Oliver, Michael",cloudy,12.55
1173764660,"Taylor, Anthony",cloudy,11.23
1173762958,"Gillett, Jarred",clear night,11.09
1173761256,"Barrott, Samuel",clear day,12.54
1173762107,"Kavanagh, Christopher",clear day,13.31
1173760405,"England, Darren",partly cloudy day,11.34
1173759554,"Attwell, Stuart",cloudy,9.88
1173751044,"Attwell, Stuart",cloudy,10.24
1173754448,"Kavanagh, Christopher",wind,8.06
1173753597,"Bramall, Thomas",wind,11.17
1173755299,"Taylor, Anthony",rain,9.32
1173756150,"Barrott, Samuel",wind,10.11
1173757852,"Oliver, Michael",clear night,6.86
1173752746,"Tierney, Paul",clear day,9.51
1173750193,"Madley, Andrew",clear day,9.27
1173757001,"Kirk, Thomas",clear day,9.28
1173751895,"Bankes, Peter",partly cloudy day,7.47
1173748491,"Madley, Andrew",partly cloudy night,11.64
1173747640,"Bankes, Peter",clear night,8.97
1173741683,"Gillett, Jarred",clear night,10.86
1173746789,"England, Darren",clear night,10.82
1173743385,"Kavanagh, Christopher",clear night,10.48
1173745087,"Donohue, Matt",clear night,10.79
1173749342,"Bramall, Thomas",cloudy,7.39
1173744236,"Robinson, Tim",cloudy,8.83
1173742534,"Pawson, Craig",partly cloudy night,10.56
1173745938,"Attwell, Stuart",clear night,6.78
1173733173,"England, Darren",cloudy,11.69
1173739130,"Kavanagh, Christopher",cloudy,12.18
1173734875,"Madley, Andrew",rain,10.08
1173736577,"Bramall, Thomas",cloudy,12.01
1173737428,"Bankes, Peter",clear day,6.73
1173735726,"Barrott, Samuel",partly cloudy day,6.28
1173739981,"Attwell, Stuart",cloudy,7.61
1173738279,"Robinson, Tim",clear day,7.61
1173734024,"Gillett, Jarred",partly cloudy day,9.75
1173740832,"Pawson, Craig",rain,7.47
1173728067,"England, Darren",rain,9.93
1173731471,"Bankes, Peter",partly cloudy day,12.96
1173729769,"Taylor, Anthony",wind,12.41
1173727216,"Kirk, Thomas",cloudy,13.55
1173730620,"Pawson, Craig",wind,11.09
1173728918,"Bramall, Thomas",rain,11.52
1173732322,"Barrott, Samuel",rain,12.69
1173724663,"Oliver, Michael",rain,11.39
1173726365,"Smith, Lewis",cloudy,13.32
1173725514,"Gillett, Jarred",cloudy,13.35
1173766362,"Tierney, Paul",rain,2.62
1173717004,"Brooks, John",cloudy,6.71
1173722110,"Kavanagh, Christopher",rain,5.73
1173718706,"Hallam, Farai",cloudy,8.77
1173721259,"Robinson, Tim",cloudy,7.89
1173720408,"Tierney, Paul",rain,8.27
1173716153,"Bankes, Peter",cloudy,7.33
1173723812,"Hooper, Simon",rain,9.79
1173719557,"Madley, Andrew",cloudy,8.3
1173717855,"Jones, Robert",rain,9.92
1173722961,"Taylor, Anthony",rain,9.7
1173712749,"Pawson, Craig",cloudy,8.88
1173709345,"Bramall, Thomas",cloudy,9.12
1173714451,"Madley, Andrew",rain,6.97
1173707643,"Barrott, Samuel",cloudy,9.84
1173715302,"Gillett, Jarred",cloudy,9.5
1173708494,"Taylor, Anthony",rain,10.78
1173710196,"England, Darren",rain,7.11
1173711047,"Attwell, Stuart",cloudy,10.03
1173713600,"Oliver, Michael",rain,8.28
1173711898,"Bankes, Peter",rain,4.96
1173705090,"Tierney, Paul",wind,4.68
1173705941,"Jones, Robert",rain,8.23
1173703388,"Brooks, John",rain,7.4
1173699133,"Robinson, Tim",rain,7.42
1173704239,"Salisbury, Michael",rain,7.71
1173702537,"Hooper, Simon",cloudy,6.64
1173700835,"Taylor, Anthony",cloudy,8.09
1173701686,"Attwell, Stuart",cloudy,8.11
1173706792,"Oliver, Michael",rain,8.01
1173699984,"Kavanagh, Christopher",partly cloudy day,8.45
1173694878,"Hooper, Simon",rain,4.34
1173690623,"Pawson, Craig",cloudy,6.93
1173697431,"Gillett, Jarred",cloudy,5.47
1173692325,"Barrott, Samuel",rain,7.9
1173694027,"England, Darren",cloudy,7.45
1173691474,"Salisbury, Michael",rain,8.03
1173696580,"Hallam, Farai",cloudy,7.55
1173695729,"Oliver, Michael",cloudy,8.17
1173693176,"Bankes, Peter",wind,5.58
1173698282,"Bramall, Thomas",cloudy,8.36
1173682964,"Tierney, Paul",cloudy,8.61
1173682113,"Harrington, Tony",rain,6.68
1173689772,"Barrott, Samuel",rain,6.31
1173687219,"Oliver, Michael",cloudy,6.74
1173683815,"Brooks, John",cloudy,9.49
1173688070,"Jones, Robert",cloudy,7.4
1173688921,"Gillett, Jarred",cloudy,9.28
1173684666,"Kavanagh, Christopher",cloudy,7.59
1173685517,"Madley, Andrew",partly cloudy day,8.1
1173686368,,,
1173673603,"Taylor, Anthony",rain,6.19
1173680411,"Salisbury, Michael",cloudy,1.25
1173676156,"Attwell, Stuart",cloudy,0.15
1173677007,"Madley, Andrew",cloudy,2.39
1173677858,"Kirk, Thomas",cloudy,4.32
1173675305,"Donohue, Matt",cloudy,2.46
1173674454,"England, Darren",cloudy,3.1
1173678709,"Bankes, Peter",cloudy,2.5
1173679560,"Bramall, Thomas",cloudy,1.69
1173681262,"Harrington, Tony",cloudy,2.65
1173670199,"Oliver, Michael",sleet,-0.71
1173668497,"Pawson, Craig",clear day,1.87
1173671050,"Brooks, John",clear day,0.15
