config,n_extra,mercado,n,sigmas,acierto_modelo,acierto_mercado,acierto_dif
base+elo+tabla+arbitro,2,mas_9_5_corners,212,-1.13171218191036,0.5235849056603774,0.5849056603773585,-0.06132075471698106
base+elo+tabla+arbitro,2,mas_4_5_tarjetas,201,-1.9734408357072002,0.6467661691542289,0.6467661691542289,0.0
base+elo+tabla+clima,2,resultado,199,-2.9429048496476025,0.4824120603015075,0.5125628140703518,-0.03015075376884424
base+elo+tabla+clima,2,mas_2_5,199,-0.9824308646913524,0.628140703517588,0.6432160804020101,-0.015075376884422065
base+elo+tabla+clima,2,ambos_marcan,199,-2.0199519489965647,0.5678391959798995,0.592964824120603,-0.025125628140703515
base+elo+tabla+clima,2,mas_9_5_corners,199,-1.280809778977356,0.5276381909547738,0.5829145728643216,-0.055276381909547756
base+elo+tabla+clima,2,mas_4_5_tarjetas,192,-1.529466080576066,0.6614583333333334,0.6458333333333334,0.015625
base+elo+tabla+rotacion,2,resultado,212,-2.9217012471025714,0.4811320754716981,0.5141509433962265,-0.03301886792452835
base+elo+tabla+rotacion,2,mas_2_5,212,-1.2827316174430374,0.6132075471698113,0.6556603773584906,-0.04245283018867929
base+elo+tabla+rotacion,2,ambos_marcan,212,-1.8617380031149013,0.5141509433962265,0.5849056603773585,-0.070754716981132
base+elo+tabla+rotacion,2,mas_9_5_corners,212,-0.8800299426439369,0.5754716981132075,0.5849056603773585,-0.009433962264150941
base+elo+tabla+rotacion,2,mas_4_5_tarjetas,201,-1.8510868667165072,0.6517412935323383,0.6467661691542289,0.00497512437810943
base+elo+tabla+calidad_plantilla,2,resultado,212,-2.4538060390628225,0.4716981132075472,0.5141509433962265,-0.04245283018867929
base+elo+tabla+calidad_plantilla,2,mas_2_5,212,-1.345636642065931,0.5990566037735849,0.6556603773584906,-0.05660377358490565
base+elo+tabla+calidad_plantilla,2,ambos_marcan,212,-1.384043486750408,0.5330188679245284,0.5849056603773585,-0.05188679245283012
base+elo+tabla+calidad_plantilla,2,mas_9_5_corners,212,-1.3967524255982775,0.5566037735849056,0.5849056603773585,-0.028301886792452824
base+elo+tabla+calidad_plantilla,2,mas_4_5_tarjetas,201,-2.1685909771619425,0.6417910447761194,0.6467661691542289,-0.004975124378109541
base+elo+boxscore+arbitro,2,resultado,212,-3.435421926450072,0.4716981132075472,0.5141509433962265,-0.04245283018867929
base+elo+boxscore+arbitro,2,mas_2_5,212,-1.153908448428239,0.5849056603773585,0.6556603773584906,-0.07075471698113212
base+elo+boxscore+arbitro,2,ambos_marcan,212,-1.7305828767981721,0.5377358490566038,0.5849056603773585,-0.047169811320754707
base+elo+boxscore+arbitro,2,mas_9_5_corners,212,-1.1243823195460954,0.5613207547169812,0.5849056603773585,-0.023584905660377298
base+elo+boxscore+arbitro,2,mas_4_5_tarjetas,201,-2.173195986799198,0.6666666666666666,0.6467661691542289,0.01990049751243772
base+elo+boxscore+clima,2,resultado,199,-2.967712679368565,0.4623115577889447,0.5125628140703518,-0.05025125628140703
base+elo+boxscore+clima,2,mas_2_5,199,-1.2263231063019817,0.6030150753768844,0.6432160804020101,-0.04020100502512569
base+elo+boxscore+clima,2,ambos_marcan,199,-2.6905206631199694,0.5276381909547738,0.592964824120603,-0.0653266331658292
base+elo+boxscore+clima,2,mas_9_5_corners,199,-1.5078456650055458,0.5477386934673367,0.5829145728643216,-0.035175879396984855
base+elo+boxscore+clima,2,mas_4_5_tarjetas,192,-1.839769008115668,0.6614583333333334,0.6458333333333334,0.015625
base+elo+boxscore+rotacion,2,resultado,212,-3.326301527757969,0.4716981132075472,0.5141509433962265,-0.04245283018867929
base+elo+boxscore+rotacion,2,mas_2_5,212,-1.4657529008364225,0.5849056603773585,0.6556603773584906,-0.07075471698113212
base+elo+boxscore+rotacion,2,ambos_marcan,212,-2.405470859603162,0.5283018867924528,0.5849056603773585,-0.05660377358490565
base+elo+boxscore+rotacion,2,mas_9_5_corners,212,-1.3573385214188147,0.5424528301886793,0.5849056603773585,-0.04245283018867918
base+elo+boxscore+rotacion,2,mas_4_5_tarjetas,201,-1.9216838844149733,0.6616915422885572,0.6467661691542289,0.01492537313432829
