match_id,equipo_id,jugador_id,posicion,minutos,suplente,nota,fueras_de_juego,goalsScored,goalsSaved,goalsConceded,assists,dribblesTotal,dribblesSuccessful,dribblesFailed,dribbleSuccessRate,fouledByOthers,fouledOthers,tacklesTotal,interceptionsTotal,duelsTotal,duelsWon,duelsLost,duelSuccessRate,cardsRed,cardsYellow,cardsSecondYellow,passesAccuracy,passesSuccessful,passesFailed,passesTotal,passesKey,penaltiesScored,penaltiesMissed,penaltiesTotal,penaltiesAccuracy,shotsOnTarget,shotsOffTarget,shotsTotal,shotsAccuracy,expectedGoals,expectedAssists,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedGoalsPrevented
1336412035,453516,45670702,Defender,0,True,,0,0,0,0,0,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,0.09,0,,,
1336412035,453516,71192422,Defender,0,True,,0,0,0,0,0,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,,,,,
1336412035,453516,71649823,Defender,0,True,,0,0,0,0,0,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,,,,,
1336412035,453516,717892,Midfielder,0,True,,0,0,0,0,0,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,0.18,0.09,,,
1336412035,453516,66145394,Midfielder,0,True,,0,0,0,0,0,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,,0,,,
1336412035,453516,275142,Forward,0,True,,0,0,0,0,0,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,0.14,0.55,0.12,,
1336412035,467132,7610463,Goalkeeper,90,False,7.05,0,0,4,2,0,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,48.57 %,17,18,35,0,0,0,0,0.00 %,0,0,0,0.00 %,,0,,1.1,-0.95
1336412035,467132,32046238,Defender,90,False,6.73,0,0,0,0,0,0,0,0,0.00 %,1,1,1,1,6,2,4,33.33 %,0,0,0,91.67 %,33,3,36,1,0,0,0,0.00 %,0,0,0,0.00 %,,0.02,,,
1336412035,467132,56199297,Defender,90,False,7.58,0,0,0,0,0,2,1,1,50.00 %,0,0,3,1,9,7,2,77.78 %,0,0,0,82.05 %,32,7,39,1,0,0,0,0.00 %,1,1,2,50.00 %,0.32,0.02,0.14,,
1336412035,467132,65216907,Defender,90,False,6.27,0,0,0,0,0,1,0,1,0.00 %,0,2,0,2,6,3,3,50.00 %,0,0,0,75.86 %,22,7,29,0,0,0,0,0.00 %,0,1,1,0.00 %,0.09,0,,,
