match_id,fuente_1x2,p_local,p_empate,p_visitante,fuente_mas_2_5,p_mas_2_5
1181033902,pinnacle,0.6802725882493887,0.19714021945186364,0.12258719229874769,pinnacle,0.5510204081632654
1181031349,pinnacle,0.17720384112684576,0.25157436512308673,0.5712217937500675,pinnacle,0.5347043701799487
1181032200,pinnacle,0.20886374638821822,0.25570653911380803,0.5354297144979737,pinnacle,0.5063938618925831
1181033051,pinnacle,0.39832974915841546,0.2809030601001543,0.3207671907414303,pinnacle,0.5319693094629157
1181038157,pinnacle,0.5262065435498711,0.25018605688159246,0.22360739956853645,pinnacle,0.5634517766497462
1181039008,pinnacle,0.47224899292097977,0.2763729901753461,0.25137801690367395,pinnacle,0.48337595907928377
1181040710,pinnacle,0.32784150156412933,0.30052137643378524,0.37163712200208554,pinnacle,0.45012787723785164
1181044114,pinnacle,0.5393677455657785,0.25752306154334254,0.2031091928908789,pinnacle,0.4974358974358974
1181045816,pinnacle,0.36743933147976043,0.2932874181992064,0.3392732503210331,pinnacle,0.4668367346938776
1181043263,pinnacle,0.1869496842122968,0.247828171122455,0.5652221446652481,pinnacle,0.5370843989769821
1181041561,pinnacle,0.40221184789013287,0.27969904364773607,0.31808910846213123,pinnacle,0.5459183673469388
1181007521,pinnacle,0.4842725458519434,0.2674142354841775,0.24831321866387912,pinnacle,0.5089514066496164
1181002415,pinnacle,0.7818173838384669,0.14204363103712175,0.07613898512441127,pinnacle,0.6009975062344141
1181005819,pinnacle,0.3513177951047322,0.27725079556698234,0.3714314093282855,pinnacle,0.5447570332480818
1181006670,pinnacle,0.5851238112186415,0.23632737874037588,0.1785488100409825,pinnacle,0.5217391304347826
1181003266,pinnacle,0.14935247183352712,0.20311936169359684,0.6475281664728759,pinnacle,0.6059113300492611
1181014329,pinnacle,0.34407055817760407,0.2814218727290808,0.3745075690933151,pinnacle,0.5558375634517766
1181008372,pinnacle,0.19088407784798944,0.243161375550077,0.5659545466019337,pinnacle,0.5358974358974359
1181011776,pinnacle,0.5795918367346939,0.22721088435374148,0.1931972789115646,pinnacle,0.6059113300492611
1181004117,pinnacle,0.19858187982586073,0.2368452176459656,0.5645729025281738,pinnacle,0.5597964376590331
1181021988,pinnacle,0.4143711236520086,0.270492261272839,0.3151366150751522,pinnacle,0.5561224489795918
1181009223,pinnacle,0.2730538834346382,0.2910394685710515,0.4359066479943103,pinnacle,0.47193877551020413
1181015180,pinnacle,0.5449716547976013,0.26217555284857574,0.1928527923538231,pinnacle,0.4540816326530612
1181010925,pinnacle,0.709081574809887,0.17891483149191956,0.11200359369819354,pinnacle,0.5804020100502513
1181010074,pinnacle,0.6085511627736745,0.22346336000234238,0.16798547722398308,pinnacle,0.5757575757575757
1181012627,pinnacle,0.4543900677265477,0.2693614251896987,0.2762485070837535,pinnacle,0.5396419437340153
1181022839,pinnacle,0.35010237131944005,0.2652001613809382,0.3846974672996219,pinnacle,0.5839598997493733
1181016031,pinnacle,0.3720784834357343,0.31345518540245143,0.31446633116181416,pinnacle,0.3872549019607843
1181020286,pinnacle,0.31775364069101597,0.26493900286498884,0.41730735644399525,pinnacle,0.5656565656565657
1181017733,pinnacle,0.298642258746256,0.3023521004698119,0.39900564078393214,pinnacle,0.43291139240506327
1181021137,pinnacle,0.4808926157456649,0.2529695530745425,0.2661378311797926,pinnacle,0.6213592233009708
1181016882,pinnacle,0.510947985255663,0.28552975646639994,0.20352225827793707,pinnacle,0.4430379746835443
1181019435,pinnacle,0.6496226112760879,0.2012344471520522,0.14914294157185992,pinnacle,0.6059113300492611
1180984544,pinnacle,0.5454272951686846,0.2568414247090632,0.19773128012225225,pinnacle,0.4652956298200514
1180982842,pinnacle,0.47388983618854463,0.2570037471392901,0.2691064166721652,pinnacle,0.6167076167076166
1180981140,pinnacle,0.4859708649098925,0.2722525853836933,0.2417765497064142,pinnacle,0.48593350383631717
1180977736,pinnacle,0.2699971933763683,0.26269997193376365,0.4673028346898681,pinnacle,0.5345268542199487
1180978587,pinnacle,0.4912559724681747,0.27322663637274885,0.23551739115907647,pinnacle,0.46938775510204084
1180981991,pinnacle,0.14832333429042055,0.21221646290783247,0.639460202801747,pinnacle,0.5910224438902744
1180983693,pinnacle,0.5571387122998831,0.24542312896248014,0.1974381587376368,pinnacle,0.5396419437340153
1180986246,pinnacle,0.5267040056008401,0.25303795569335397,0.22025803870580588,pinnacle,0.5717884130982368
1180987948,pinnacle,0.7080325501045995,0.18198960481112594,0.10997784508427452,pinnacle,0.5829145728643217
1180985395,pinnacle,0.1849916181836111,0.2402129967458831,0.5747953850705059,pinnacle,0.5307692307692307
1180989650,pinnacle,0.39202999472511796,0.2738688413854345,0.33410116388944755,pinnacle,0.5370843989769821
1180979438,pinnacle,0.2938475391277382,0.2869130839270836,0.41923937694517827,pinnacle,0.48849104859335046
1180995607,pinnacle,0.37449640850959826,0.2789944590615918,0.3465091324288098,pinnacle,0.5620253164556962
1180998160,pinnacle,0.4498530174649835,0.26768113435932905,0.2824658481756874,pinnacle,0.5721518987341772
1180999011,pinnacle,0.6134633420728269,0.23243934783574743,0.15409731009142555,pinnacle,0.5321336760925449
1180988799,pinnacle,0.1917903756102421,0.25256550762179936,0.5556441167679586,pinnacle,0.5115089514066496
1180991352,pinnacle,0.5314538997329515,0.25526525892685076,0.21328084134019767,pinnacle,0.5370843989769821
1180992203,pinnacle,0.6086369382829558,0.2337518676014251,0.15761119411561889,pinnacle,0.5063938618925831
1180987097,pinnacle,0.35762660193949963,0.28864817723306796,0.3537252208274324,pinnacle,0.49104859335038353
1181004968,pinnacle,0.24155287170546091,0.23917304045713125,0.5192740878374078,pinnacle,0.6059113300492611
1181000713,pinnacle,0.3268098419068986,0.3111480283969833,0.36204212969611815,pinnacle,0.4125
1180997309,pinnacle,0.49762535619657056,0.2567114932760086,0.24566315052742083,pinnacle,0.5656565656565657
1180993054,pinnacle,0.35284953105038486,0.3203502321378494,0.3268002368117658,pinnacle,0.38630806845965776
1180999862,pinnacle,0.4607023974533041,0.2692748084837872,0.2700227940629088,pinnacle,0.5623409669211196
1180993905,pinnacle,0.4526761901021491,0.28709551879634826,0.2602282911015028,pinnacle,0.4540816326530612
1180996458,pinnacle,0.7819757220822571,0.14270476827317155,0.07531950964457136,pinnacle,0.652482269503546
881135545,pinnacle,0.5638567932153224,0.2090158802436109,0.22712732654106663,pinnacle,0.7145877378435518
881137247,pinnacle,0.4285745923241033,0.2748204306711058,0.296604977004791,pinnacle,0.5319693094629157
881132141,pinnacle,0.8330482652445336,0.10424336436716926,0.06270837038829714,pinnacle,0.7315573770491803
881121929,pinnacle,0.4421817918761529,0.2594133179006764,0.2984048902231707,pinnacle,0.5681818181818182
881125333,pinnacle,0.6295535036681003,0.20939792562610676,0.1610485707057931,pinnacle,0.5945273631840796
881138098,pinnacle,0.1995380937588633,0.21747410218662627,0.5829878040545102,pinnacle,0.6565420560747663
881130439,pinnacle,0.19255243931180765,0.24322413386754652,0.5642234268206457,pinnacle,0.5242966751918159
881129588,pinnacle,0.4463803523209464,0.24761047533324762,0.30600917234580605,pinnacle,0.6363636363636364
881136396,pinnacle,0.15559686267398107,0.2210182708437231,0.6233848664822959,pinnacle,0.5153846153846154
881131290,pinnacle,0.3688937769223719,0.2782513060214462,0.3528549170561819,pinnacle,0.5333333333333333
881132992,pinnacle,0.5645043445027709,0.23974011667771997,0.19575553881950924,pinnacle,0.5347043701799487
881138949,pinnacle,0.09348093480934809,0.15867158671586717,0.7478474784747847,pinnacle,0.6195121951219512
881140651,pinnacle,0.3136245273858738,0.2599561590631574,0.42641931355096885,pinnacle,0.5955334987593052
