y,pm,liga,28,28 + impacto xG,28 + impacto goles,28 + impacto xG y goles,28 + lesiones
0,0.32779097387173395,Segunda,0.36133766,0.35800594,0.3466218,0.3451457,0.37001503
0,0.39845758354755784,La Liga,0.5406579,0.54168254,0.49440926,0.49287876,0.53865147
1,0.5695538057742783,Ligue 1,0.74729896,0.74631417,0.710266,0.7191719,0.73371994
0,0.39641943734015345,Serie A,0.38867065,0.39503276,0.3862195,0.38689417,0.388066
0,0.4880000000000001,Serie A,0.4490002,0.4478305,0.4290281,0.42907125,0.44975406
1,0.5358090185676393,Bundesliga,0.3150011,0.30692753,0.29884395,0.3075149,0.3115617
1,0.6055979643765903,Premier League,0.6065135,0.60545295,0.6245009,0.63445014,0.60476214
1,0.5437665782493368,Ligue 1,0.6096942,0.6049114,0.6257865,0.6158408,0.61991453
0,0.4109947643979057,Segunda,0.45151448,0.45138612,0.4572684,0.4634088,0.44838825
0,0.5319148936170213,La Liga,0.505768,0.5061408,0.52347255,0.5268816,0.47467533
0,0.4447368421052632,Serie A,0.57136744,0.5715393,0.60298336,0.59202874,0.5660211
1,0.582901554404145,Serie A,0.5463978,0.5344973,0.55754447,0.5495919,0.54526913
1,0.6212121212121211,Ligue 1,0.699473,0.701267,0.6904794,0.6854428,0.6970195
1,0.6910755148741418,La Liga,0.6831514,0.6825899,0.6683134,0.66834986,0.67020833
1,0.4596774193548387,Segunda,0.5396371,0.5379597,0.5176148,0.52381516,0.5283843
0,0.46684350132625996,Premier League,0.6028574,0.5994635,0.5599433,0.56760204,0.6003128
0,0.4576719576719577,Premier League,0.37684837,0.38331386,0.4222539,0.41792983,0.38861418
1,0.4826666666666667,Ligue 1,0.56728625,0.5691608,0.5626893,0.55965716,0.56467277
0,0.5212765957446808,Bundesliga,0.60986406,0.6086113,0.6099211,0.61821926,0.60366565
0,0.39845758354755784,La Liga,0.55084527,0.55671763,0.5280018,0.5265487,0.5527357
0,0.4376657824933686,Segunda,0.4269463,0.4176279,0.43509156,0.4378609,0.41700166
0,0.4946524064171124,Ligue 1,0.41910997,0.41335183,0.40904313,0.40743357,0.41508117
0,0.4986666666666667,Ligue 1,0.6114889,0.6172031,0.61316216,0.6090951,0.62195474
1,0.5146666666666666,Ligue 1,0.5510187,0.5609478,0.5521063,0.5563338,0.55094016
0,0.6221662468513854,Bundesliga,0.6142991,0.61645925,0.5854854,0.59478056,0.6085433
0,0.5292553191489361,Premier League,0.5667169,0.57086414,0.5687149,0.56346476,0.5597888
0,0.47340425531914887,Serie A,0.5037284,0.5099205,0.53374016,0.53463507,0.50451994
0,0.46153846153846156,Serie A,0.47556657,0.47949904,0.45641512,0.4539593,0.46710142
1,0.5695538057742783,La Liga,0.6247562,0.61317414,0.62227976,0.6320027,0.70047635
1,0.41298701298701296,La Liga,0.42884842,0.43494287,0.40302593,0.40499353,0.41656542
0,0.5256064690026954,Segunda,0.46436444,0.47666034,0.43796855,0.4639446,0.45843267
0,0.544973544973545,Serie A,0.46395245,0.45108002,0.45770717,0.4660665,0.4501308
0,0.5818181818181818,Serie A,0.5314762,0.52465737,0.5393013,0.5538692,0.521031
0,0.5593667546174144,Ligue 1,0.57174695,0.5733271,0.5905366,0.5881624,0.56479055
0,0.448,Segunda,0.50560945,0.49556947,0.47616974,0.47446656,0.48849544
1,0.5514511873350924,La Liga,0.5176279,0.51871157,0.4606132,0.46775526,0.51841754
0,0.4383202099737532,Serie A,0.35103515,0.37357312,0.35776833,0.36024612,0.36337918
1,0.5188172043010751,Segunda,0.6286911,0.6327689,0.6375192,0.6367154,0.6127267
0,0.42931937172774864,La Liga,0.47275537,0.49180263,0.50674397,0.52824867,0.46713868
1,0.5578947368421052,Serie A,0.58126146,0.57402956,0.56114256,0.5641376,0.55667514
1,0.6136363636363636,Premier League,0.6364304,0.62905806,0.6304262,0.63313746,0.6520713
1,0.36724565756823824,La Liga,0.42768788,0.4210887,0.4075091,0.41695958,0.4221441
1,0.4679144385026738,Segunda,0.5300161,0.5390393,0.53946495,0.54993874,0.51690614
0,0.5066666666666666,La Liga,0.5234332,0.5215432,0.5528877,0.5527412,0.49851933
1,0.4603174603174603,Serie A,0.3657794,0.38280055,0.36512217,0.37448576,0.37586966
