match_id,local_formacion,local_ids,visitante_formacion,visitante_ids
1325327760,4-2-3-1,231672|3147543|21245|24627841|470274|311528|62679869|62195420|234409|44779567|54210625,3-4-3,3052553|24625587|3380349|59044489|55004516|45422279|3146899|26067181|3086524|1663123|24630256
1325326909,4-2-3-1,43365343|45803366|6236328|26273583|1178352|75560835|52825059|3023412|3324643|24702384|50753311,4-2-3-1,45234|33207048|46844|59189550|24577448|87416|176610|39921|32719218|72882439|461258
1325325207,4-2-3-1,20778492|3053197|3567914|62391035|14972027|42797174|3054324|26083281|49222684|44817724|14585144,4-2-3-1,5937512|22349530|143283|7537369|3107132|306698|368361|58695280|31411737|3089905|3070585
1325326058,4-2-3-1,261296|20774467|10943485|91441|57978508|45761184|22364342|101745|49446957|3104395|177254,4-2-3-1,19047581|26125141|3235127|53425106|3038063|49081487|3038546|3098599|127666|65656920|24609970
1325324356,4-2-3-1,45395|17182879|3138849|180313|55065696|44646420|7637672|28670551|4036907|45852471|31581270,4-3-2-1,42798140|46683|1064364|6230049|52822483|10943646|5014660|55918030|43552264|61291244|388647
1325322654,4-2-3-1,6001590|3078313|20540373|3029208|2833271|454657|31414635|11390421|5349218|48858341|51785482,4-2-3-1,31320450|3578379|3205825|9000698|42658|235858|58818445|50158577|3322872|19178635|6238904
1325321803,4-2-3-1,472206|348719|2843575|472850|32659648|28929439|65263114|53780111|23844093|2993466|55333278,3-4-2-1,3073322|44902732|20438943|66454353|29334515|46384576|418915|2211650|3047723|236502|4174401
1325323505,3-4-2-1,470113|453691|58555049|58396625|22343734|25550371|3566143|446285|3018260|7832482|1508080,3-4-2-1,26160883|43687504|3110835|134267|3181514|367073|28604219|3091515|8169133|3094735|3021480
1325320952,3-4-2-1,256305|445963|3074127|57707545|3018421|2845024|3166380|3231907|48287757|36509319|3113411,4-2-3-1,26164425|143605|64775123|472689|87899|471240|49239428|61574926|239239|3314983|187719
1325320101,4-3-3,3134019|25285526|3578218|53722956|3213553|50432599|473011|5977601|26049954|157612|235214,4-3-3,44772322|3101014|26148808|42574511|6111875|3111962|76567729|2543793|26021135|22344700|13216644
1336412886,4-4-2,183533|11350654|54204185|70124026|57315188|29385713|3332210|47466818|8213730|46809294|3044020,4-3-3,441455|10353903|252441|118328|180152|26064927|17183201|29399237|58402904|30917306|7603379
1336407780,4-4-2,28841533|20451179|80080427|5145|7625114|57115548|17260964|53086362|54051074|92532167|26076519,4-3-3,7565544|118650|31411254|251475|231833|48442639|7622055|273371|29208935|7660856|1605485
1336406078,4-4-2,4823|4894393|4955090|47622827|121387|90797|21442939|29337413|52153689|1366883|149401,4-2-3-1,117684|7628334|58201171|184499|36540|204785|121870|122836|20884752|47006358|44912
1336409482,4-4-2,7606921|10347302|29129401|7607404|62470247|31477586|26122243|239883|30266061|26016144|7647493,4-4-2,7541877|29689681|52839066|328433|88776037|9814|54341357|53970735|30630887|16889537|26087628
1336411184,4-2-3-1,89831|1838935|54563376|28163401|19278616|19287149|3381798|21855743|3583048|88034632|52733450,4-3-3,210259|137809|367556|63856457|99813|21511203|7238|54840940|22344861|241010|62279462
1336406929,3-4-3,4953319|8297289|53085396|29408575|53085074|53693976|26101957|28972909|43335397|19760328|26062029,4-2-3-1,29599682|77677663|55274030|7524328|29251439|273854|6626431|71037057|7614327|71349397|73593415
1336405227,4-2-3-1,7610624|7611107|100296|29599843|55519072|61788734|7568281|29591793|20672232|13538000|7614488,4-4-2,7623987|3017294|50082585|17188353|1003667|29584065|979839|7616903|22379315|98042|122514
1336410333,4-5-1,7639282|3037741|90308918|7652967|67788238|7513541|61372871|29402135|7512736|7512092|7526260,4-3-3,4901155|7620123|3042249|16872149|274337|7613039|6690026|7584703|7654577|8526|20701856
1336408631,4-2-3-1,453047|72565430|7607243|7611751|94231522|29575693|7534793|46149033|62547849|46052272|50391544,4-3-3,1826860|50735601|26091492|50126699|71816941|7564256|88341498|7399|26076197|29668751|51293466
1336402674,4-1-4-1,7541877|29689681|2329824|50894669|29800610|63494046|29817676|16896943|26087628|30630887|60600715,4-4-2,183533|11350654|54204185|70124026|57315188|29385713|47466818|7654255|8213730|3044020|46809294
1336399270,4-2-3-1,7565544|251958|57155798|31411254|53866568|48442639|50959713|29208935|120099|1605485|24077865,5-3-2,7606921|75908112|29129401|7607404|239883|62470247|26122243|4006156|55256159|31477586|26016144
1336397568,4-4-2,4823|90797|7615615|4955090|121387|3021641|8204|21442939|149401|29337413|1366883,5-4-1,7639282|29182853|90308918|45051496|69002500|67788238|42579824|293979|61372871|29613045|23627065
1336400121,4-4-2,28841533|36701|5145|7597744|26101796|47636834|55845419|17260964|30339799|236019|92532167,4-4-2,89831|1838935|47867225|54563376|19278616|21855743|3583048|3381798|88034632|51932314|16876335
1336400972,3-4-3,1826860|26091492|50126699|71816941|50735601|30158352|7564256|7596456|26076197|57734754|43724534,4-4-2,117684|7628334|58201171|184499|45717|47006358|204785|121870|82718090|122836|44912
1336396717,3-5-2,7623987|50082585|17188353|1003667|29584065|235375|26192600|22379315|53350563|7596295|98042,4-4-2,7652001|147952|5938478|7641697|4234776|13517|398790|103252191|7803019|7609658|50827693
1336403525,4-3-3,4901155|7620123|16872149|3042249|274337|7613039|6690026|7548961|7654577|8526|351295,4-2-3-1,453047|72565430|7607243|45410848|46142915|29575693|66829483|60522469|62547849|70563878|50391544
1336395866,4-4-2,183533|29691774|54204185|70124026|50195607|8213730|3332210|7654255|522760|29060010|274981,4-2-3-1,7565544|118650|31411254|251475|231833|7622055|273371|29208935|120099|21914991|7660856
1336394164,4-2-3-1,7610463|3857|44465778|56199297|32046238|149884|394443|7618191|1180606|149079|7619157,4-4-2,4823|47622827|4894393|4955090|121387|90797|1241786|29337413|52153689|3021641|149401
1336389909,4-4-2,7606921|50959230|7607404|239883|10347302|31477586|4006156|55256159|30266061|26016144|7647493,4-4-2,28841533|20451179|5145|51441586|7625114|30339799|55845419|53086362|26076519|92532167|236019
1336390760,4-3-3,441455|10353903|252441|118328|180152|29399237|50497965|62972245|7533344|48583997|7603379,4-3-3,29417752|91448315|29254015|63856457|99813|21511203|7238|54840940|22344861|241010|62279462
1336389058,3-4-3,4953319|366912|53085396|8297289|25436222|26101957|53693976|28972909|53085074|19760328|26062029,4-4-2,7541877|29689681|2329824|50894669|88776037|9814|16896943|63494046|30630887|60600715|54341357
